FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
CLD_PLATF_20A0X_WON_DTL_REVN_COMP_SUM_C,11.9,11.8,9.9,13.8,1,Tentative,PIPE COMP,2,1%,-1%,-1%,3%,1%,-1%,-3%,3%,DROP
IND_SCORE_NEW_E4,11.7,11.8,10.4,12.7,1,Tentative,OTHER,CAT,0%,0%,0%,0%,-1%,0%,1%,1%,DROP
INDUSTRY_BIN_B,11.7,11.8,9.4,13.1,1,Tentative,INDUSTRY,CAT,-1%,3%,-2%,2%,-1%,1%,-2%,3%,KEEP
ENTR_STRAT_20J09_WON_DTL_REVN_COMP_SUM_C,11.3,11.8,8.7,12.8,1,Tentative,PIPE COMP,2,-2%,-1%,-4%,8%,1%,0%,-3%,8%,DROP
CLD_APP_MGMT_20J01_COMP_YIELD_C,12.0,11.7,11.4,13.3,1,Tentative,PIPE COMP,1,-3%,-2%,-5%,11%,1%,-1%,-4%,11%,DROP
IND_SCORE_NEW_N5,11.8,11.7,9.6,13.0,1,Tentative,OTHER,CAT,0%,0%,0%,0%,0%,0%,-1%,1%,DROP
BJ_UT30_TRY_30AFV_COMP_CNT_1YR,11.8,11.7,10.7,13.2,1,Tentative,BJ,0,0%,-3%,2%,1%,1%,0%,-2%,3%,DROP
BJ_UT15_LRN_156UX_COMP_CNT_1YR,11.7,11.7,10.6,13.1,1,Tentative,BJ,0,0%,-1%,0%,2%,1%,1%,-2%,2%,DROP
CHN_NM_DI_ECLCK_INDIV_CNT_60DAYS,11.5,11.7,10.6,12.5,1,Tentative,CHANNEL,0,-2%,-3%,2%,2%,2%,-1%,-1%,3%,DROP
Z_DEV_OPS_20C01_COMP_YIELD_C,11.7,11.6,10.1,13.0,1,Tentative,PIPE COMP,4,0%,-2%,1%,2%,1%,-1%,-2%,2%,DROP
STORAGE_15STT_INDIV_YIELD_I,11.4,11.6,8.6,13.4,1,Tentative,PIPE INDIV,4,-3%,-2%,7%,0%,-1%,-1%,-2%,7%,DROP
PUB_CLD_CONS_20A46_WON_DTL_REVN_COMP_SUM_C,11.5,11.5,10.7,12.2,1,Tentative,PIPE COMP,3,2%,-2%,-3%,3%,1%,-1%,-2%,3%,DROP
IND_SCORE_NEW_E5,11.4,11.5,8.8,14.0,1,Tentative,OTHER,CAT,0%,1%,-1%,0%,0%,1%,1%,1%,DROP
FIN_SUPPLY_CHAIN_TRNS_20J06_WON_DTL_REVN_COMP_SUM_C,11.2,11.4,9.2,12.7,1,Tentative,PIPE COMP,2,-2%,-2%,-3%,9%,0%,-1%,-3%,9%,DROP
EMP_CNT_SEG_BIN_A,11.5,11.4,10.4,13.0,1,Tentative,EMP_CNT_SEG,CAT,2%,1%,-1%,0%,-1%,0%,-1%,2%,DROP
ENTR_APP_20J03_LEAD_COMP_SUM_C,11.3,11.4,10.1,12.7,1,Tentative,PIPE COMP,2,-4%,-2%,-7%,14%,2%,-1%,-4%,14%,KEEP
PUB_CLD_INF_20D0C_COMP_YIELD_C,11.5,11.4,10.6,12.3,1,Tentative,PIPE COMP,3,5%,-2%,-4%,1%,2%,-1%,-3%,5%,DROP
UT_LVL_15_CD_INTENT_NEW_BIN_A,11.5,11.4,9.7,13.2,1,Tentative,LAST TOUCH UT,CAT,-4%,-1%,3%,0%,-1%,0%,3%,4%,DROP
UT20_OFFER_20A0M_COMP_CNT_60DAYS,11.9,11.3,10.7,15.6,1,Tentative,OFFER,1,0%,-3%,2%,1%,1%,0%,-3%,3%,DROP
UT15_OFFER_15MSC_COMP_CNT_1YR,11.4,11.2,10.8,12.5,1,Tentative,OFFER,1,1%,-2%,-2%,3%,1%,1%,-2%,3%,DROP
BJ_UT20_TRY_20A0M_COMP_CNT_1YR,11.8,11.2,10.1,13.6,1,Tentative,BJ,0,1%,-3%,1%,1%,1%,-1%,-4%,4%,DROP
UT10_OFFER_WH_COMP_CNT_1YR,11.4,11.2,10.1,14.2,1,Tentative,OFFER,1,0%,-2%,-1%,2%,1%,4%,-1%,4%,DROP
CMPLX_ENG_20B1C_COMP_YIELD_C,10.6,11.0,6.6,12.6,1,Tentative,PIPE COMP,2,-1%,5%,-3%,3%,1%,-1%,-3%,5%,DROP
STOR_OPS_20C0U_COMP_YIELD_C,11.1,11.0,8.8,13.2,1,Tentative,PIPE COMP,4,-5%,-4%,8%,2%,4%,-1%,-5%,8%,KEEP
CHN_T_HYB_COMP_CNT_1YR,11.0,11.0,9.0,12.8,1,Tentative,CHANNEL,0,1%,-2%,0%,1%,-1%,0%,-1%,2%,DROP
OO_BP_LEAD_INDIV_SUM_I_FLG,10.9,11.0,9.6,12.1,1,Confirmed,FLG,FLG,4%,2%,2%,-6%,-2%,-2%,0%,6%,DROP
COMP_INST_FLG_VMWARE,10.7,10.9,9.4,11.4,1,Tentative,COMP INST,0,0%,0%,-3%,1%,1%,1%,1%,3%,DROP
LDR_INDIV_YIELD_I,10.6,10.9,9.3,11.7,1,Tentative,PIPE INDIV,4,1%,0%,-2%,-2%,-1%,-1%,4%,4%,DROP
LDR_WON_DTL_REVN_INDIV_SUM_I,10.8,10.9,9.7,12.1,1,Tentative,PIPE INDIV,4,0%,-1%,0%,0%,-1%,-1%,2%,2%,DROP
PARENT_ASSET_BUYERS_JOURNEY_BUY_ADOPT_ADVOCATE,10.7,10.8,9.1,12.8,1,Tentative,PARENT_ASSET_BUYERS_JOURNEY,CAT,-2%,-2%,4%,0%,0%,-1%,-1%,4%,DROP
BJ_UT10_LRN_SYSWT_COMP_CNT_60DAYS,11.3,10.8,8.3,15.1,1,Tentative,BJ,0,0%,-2%,1%,1%,2%,1%,-2%,2%,DROP
STOR_DATA_AI_20COE_LEAD_COMP_SUM_C,10.5,10.8,7.7,12.0,1,Tentative,PIPE COMP,3,-3%,-3%,7%,1%,0%,1%,-5%,7%,DROP
UT10_OFFER_GBS_COMP_CNT_60DAYS,11.1,10.7,10.2,12.1,1,Tentative,OFFER,1,0%,-2%,-1%,3%,1%,0%,-1%,3%,DROP
UT_LVL_10_CD_INTENT_NEW_10B00,10.7,10.7,10.3,11.1,1,Tentative,LAST TOUCH UT,CAT,-2%,9%,-2%,-1%,0%,0%,-1%,9%,KEEP
CLD_MDRN_20JMW_COMP_YIELD_C,10.5,10.6,9.3,11.7,1,Tentative,PIPE COMP,1,-3%,-2%,-5%,11%,2%,-2%,-4%,11%,DROP
"EMP_CNT_SEG_[100,5K)",10.5,10.6,9.3,11.5,1,Tentative,EMP_CNT_SEG,1,1%,0%,0%,-1%,-1%,0%,1%,1%,DROP
BJ_UT20_LRN_20B0X_COMP_CNT_1YR,10.9,10.6,10.1,13.0,1,Tentative,BJ,0,-1%,-2%,-1%,2%,2%,1%,-1%,2%,DROP
ENTR_APP_MGMT_ON_PRM_20J3H_WON_DTL_REVN_COMP_SUM_C,10.9,10.5,9.7,13.1,1,Tentative,PIPE COMP,2,-3%,-2%,-4%,10%,2%,-1%,-3%,10%,DROP
COMP_INST_FLG_ADOBE,10.6,10.5,9.3,12.4,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,1%,3%,KEEP
COMP_INST_FLG_SALESFORCE,10.3,10.5,9.1,12.0,1,Tentative,COMP INST,0,0%,1%,-4%,1%,1%,2%,1%,4%,KEEP
COMP_INST_FLG_CISCO,10.2,10.5,9.1,11.0,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,1%,3%,KEEP
DAS_20B1J_COMP_YIELD_C,10.3,10.5,8.3,12.4,1,Tentative,PIPE COMP,2,-2%,-1%,-2%,5%,1%,-1%,0%,5%,DROP
CHN_T_HYB_COMP_CNT_60DAYS,11.0,10.5,7.7,14.6,1,Tentative,CHANNEL,0,0%,-2%,0%,2%,0%,0%,-1%,2%,DROP
ENTR_APP_20J03_WON_DTL_REVN_COMP_SUM_C,10.6,10.5,8.0,13.2,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,11%,2%,-1%,-3%,11%,DROP
DATA_SCI_20A0K_WON_DTL_REVN_COMP_SUM_C,10.4,10.4,10.0,10.7,1,Tentative,PIPE COMP,2,2%,-1%,-2%,2%,1%,0%,-3%,3%,DROP
ENTR_CLD_STRAT_20JHE_WON_DTL_REVN_COMP_SUM_C,10.5,10.4,9.0,11.8,1,Tentative,PIPE COMP,2,-2%,-2%,-3%,8%,0%,-1%,-3%,8%,DROP
OI_DIGITAL_BRAND_SALES_LEAD_INDIV_SUM_I_FLG,10.3,10.4,9.3,11.5,1,Confirmed,FLG,FLG,-1%,-1%,-2%,-1%,-2%,-1%,7%,7%,DROP
UT20_OFFER_20D0C_COMP_CNT_60DAYS,10.6,10.4,9.2,13.1,1,Tentative,OFFER,1,-2%,-3%,4%,2%,0%,-1%,-2%,4%,DROP
OI_BRAND_SALES_WON_DTL_REVN_INDIV_SUM_I,10.6,10.4,7.9,15.4,1,Tentative,PIPE INDIV,4,-1%,-2%,0%,4%,0%,-1%,-2%,4%,DROP
IND_SCORE_NEW_E3,10.6,10.3,8.7,13.0,1,Tentative,OTHER,CAT,0%,-1%,1%,0%,-1%,-1%,0%,1%,DROP
STOR_OPS_20C0U_WON_DTL_REVN_COMP_SUM_C,10.4,10.3,8.9,12.1,1,Tentative,PIPE COMP,4,-3%,-3%,5%,2%,2%,-1%,-3%,5%,DROP
STOR_CYBER_RES_20CSN_COMP_YIELD_C,10.3,10.3,9.5,11.4,1,Tentative,PIPE COMP,3,-4%,-4%,7%,3%,2%,-2%,-5%,7%,DROP
UT10_OFFER_MISC_COMP_CNT_60DAYS,10.3,10.3,9.4,11.1,1,Tentative,OFFER,1,-1%,-2%,0%,2%,1%,1%,-1%,2%,DROP
ON_PRM_MDRN_20JVJ_COMP_YIELD_C,10.0,10.3,8.6,11.2,1,Tentative,PIPE COMP,3,-3%,-3%,-4%,12%,2%,-1%,-4%,12%,DROP
COMP_INST_FLG_ORACLE,10.5,10.3,9.0,12.9,1,Tentative,COMP INST,0,0%,1%,-3%,2%,1%,1%,0%,3%,KEEP
DGTL_BUS_AUTO_20A0Y_WON_DTL_REVN_COMP_SUM_C,10.2,10.2,9.6,10.8,1,Tentative,PIPE COMP,2,3%,-3%,-2%,3%,1%,-1%,-3%,3%,DROP
UT15_OFFER_15MHW_COMP_CNT_60DAYS,10.2,10.2,9.2,10.9,1,Tentative,OFFER,1,-2%,-3%,2%,2%,2%,0%,-2%,3%,DROP
CIS_20B1F_WON_DTL_REVN_COMP_SUM_C,9.9,10.2,7.6,11.4,1,Tentative,PIPE COMP,1,-2%,-2%,-3%,5%,1%,0%,1%,5%,DROP
RESP_QUARTER,10.3,10.1,9.4,12.0,1,Tentative,OTHER,1,1%,-1%,0%,1%,-3%,-3%,0%,3%,KEEP
ENTR_CLD_STRAT_20JHE_COMP_YIELD_C,9.9,10.1,8.2,11.5,1,Tentative,PIPE COMP,2,-2%,-2%,-4%,9%,1%,-1%,-3%,9%,DROP
STREAM_20D0A_LEAD_COMP_SUM_C_FLG,10.0,10.1,7.9,11.7,1,Confirmed,FLG,FLG,0%,4%,-2%,1%,0%,0%,-2%,4%,DROP
CLD_PLATF_20A0X_WON_LEAD_COMP_SUM_C,10.1,10.1,9.0,11.2,1,Tentative,PIPE COMP,2,3%,-3%,-2%,4%,2%,-2%,-5%,5%,DROP
OI_SVCS_DELIVERY_LEAD_INDIV_SUM_I_FLG,9.9,10.1,7.0,11.5,1,Confirmed,FLG,FLG,-2%,-1%,-3%,8%,0%,-1%,-2%,8%,DROP
COMP_INST_FLG_FB,10.2,10.0,9.0,12.3,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,0%,3%,DROP
INTR_15MFT_COMP_CNT,9.7,10.0,7.7,12.2,1,Tentative,INTR,0,0%,-2%,0%,2%,1%,0%,-2%,2%,DROP
COMP_INST_FLG_DELL,9.8,10.0,8.5,10.7,1,Tentative,COMP INST,0,0%,1%,-3%,2%,1%,1%,1%,3%,DROP
DATAOPS_20A0N_WON_DTL_REVN_COMP_SUM_C,10.4,9.9,9.1,13.7,1,Tentative,PIPE COMP,2,2%,-2%,-2%,3%,1%,-1%,-3%,3%,DROP
OI_BP_LEAD_INDIV_SUM_I_FLG,9.6,9.9,8.1,10.6,1,Confirmed,FLG,FLG,0%,-1%,1%,1%,0%,-1%,-1%,1%,DROP
DATA_SCI_20A0K_COMP_YIELD_C,9.9,9.9,9.1,11.2,1,Tentative,PIPE COMP,2,7%,-3%,-4%,1%,2%,1%,-5%,7%,DROP
ENTR_STRAT_20J09_COMP_YIELD_C,10.3,9.9,9.2,12.6,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,10%,2%,-1%,-4%,10%,DROP
IND_SCORE_NEW_N4,9.6,9.9,8.0,11.3,1,Tentative,OTHER,CAT,1%,-1%,0%,0%,0%,1%,0%,1%,DROP
JOB_FUNCTION_BIN_B,9.7,9.8,7.8,10.7,1,Tentative,JOB_FUNCTION,CAT,0%,2%,-2%,1%,0%,0%,1%,2%,KEEP
INTR_15ANP_INDIV_CNT,10.1,9.8,8.5,12.9,1,Tentative,INTR,0,2%,0%,-2%,-1%,1%,0%,0%,2%,DROP
INTR_WH_COMP_CNT,9.8,9.8,7.3,10.9,1,Tentative,INTR,0,1%,0%,-2%,0%,1%,3%,-1%,3%,DROP
CMPLX_ENG_20B1C_LEAD_COMP_SUM_C,9.8,9.8,8.4,10.7,1,Tentative,PIPE COMP,2,-2%,9%,-3%,2%,0%,0%,-3%,9%,KEEP
COMP_INST_FLG_GOOGLE,9.7,9.7,9.1,10.7,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,0%,3%,DROP
Z_LINUX_M_20C08_COMP_YIELD_C,10.0,9.7,9.3,11.3,1,Tentative,PIPE COMP,4,-1%,-2%,2%,1%,2%,-1%,-3%,3%,DROP
STOR_NETW_20C0F_COMP_YIELD_C,9.5,9.7,7.0,11.6,1,Tentative,PIPE COMP,4,-3%,-3%,6%,3%,2%,-1%,-4%,6%,DROP
BJ_UT10_TRY_CA_COMP_CNT_1YR,9.5,9.6,8.5,10.3,1,Tentative,BJ,0,0%,2%,-1%,2%,2%,0%,-3%,3%,DROP
UT15_OFFER_15STT_COMP_CNT_60DAYS,9.7,9.6,8.6,11.2,1,Tentative,OFFER,1,-2%,-3%,4%,2%,2%,0%,-2%,4%,KEEP
UT20_OFFER_20APO_COMP_CNT_1YR,9.4,9.6,8.3,9.8,1,Tentative,OFFER,1,0%,-1%,0%,1%,1%,1%,-1%,1%,DROP
STOR_OPS_20C0U_LEAD_COMP_SUM_C,9.7,9.6,8.8,10.9,1,Tentative,PIPE COMP,4,-6%,-5%,13%,2%,2%,-2%,-6%,13%,KEEP
"COMP_REV_SEG_[0,5M)",9.5,9.5,8.3,10.8,1,Tentative,COMP_REV_SEG,1,1%,0%,0%,0%,-1%,-1%,0%,1%,DROP
Z_OPS_PERF_20C06_WON_DTL_REVN_COMP_SUM_C_FLG,9.7,9.5,7.4,12.3,1,Confirmed,FLG,FLG,0%,-1%,2%,1%,0%,-1%,-2%,2%,DROP
FIN_SUPPLY_CHAIN_TRNS_20J06_COMP_YIELD_C,9.5,9.5,6.7,11.4,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,11%,1%,-1%,-4%,11%,DROP
IBM_GBL_IMT_DSCR_JP_IND_KOR,9.5,9.4,7.9,11.1,1,Tentative,GEO,CAT,0%,-4%,2%,4%,3%,-2%,-6%,6%,DROP
DEV_SVC_20D0F_COMP_YIELD_C,9.4,9.4,8.6,10.3,1,Tentative,PIPE COMP,2,3%,-1%,-4%,3%,1%,-1%,-3%,4%,DROP
OI_MARKETING_INDIV_YIELD_I,9.4,9.4,7.8,11.1,1,Tentative,PIPE INDIV,4,3%,1%,0%,-3%,-1%,-1%,1%,3%,DROP
BJ_UT15_BUY_15STT_COMP_CNT_1YR,9.5,9.4,8.6,10.5,1,Tentative,BJ,0,-3%,-3%,5%,2%,2%,-1%,-3%,5%,KEEP
CLOUD_SEC_COMPLIANCE_20G3U_COMP_YIELD_C,9.6,9.4,8.8,10.5,1,Tentative,PIPE COMP,2,-1%,-1%,-3%,4%,1%,0%,0%,4%,DROP
COMP_INST_FLG_WORDPRESS,9.3,9.4,7.8,10.5,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,1%,3%,DROP
DEV_SVC_20D0F_WON_DTL_REVN_COMP_SUM_C,9.3,9.3,8.8,10.0,1,Tentative,PIPE COMP,2,2%,-1%,-3%,4%,1%,-1%,-2%,4%,DROP
DATABASE_20A0M_WON_DTL_REVN_COMP_SUM_C,9.3,9.3,7.9,10.4,1,Tentative,PIPE COMP,2,2%,-3%,-1%,2%,1%,-1%,-3%,3%,DROP
COGNOS_20A0O_WON_DTL_REVN_COMP_SUM_C,9.3,9.3,8.7,9.8,1,Tentative,PIPE COMP,2,3%,0%,-3%,2%,1%,-1%,-3%,3%,DROP
BJ_UT20_LRN_20A0W_COMP_CNT_1YR,9.3,9.3,8.0,10.4,1,Tentative,BJ,0,0%,-1%,-1%,1%,1%,2%,-1%,2%,DROP
OI_BRAND_SALES_INDIV_YIELD_I,9.1,9.2,6.8,11.7,1,Tentative,PIPE INDIV,4,-1%,-2%,0%,4%,0%,0%,-2%,4%,DROP
UT20_OFFER_20B2P_COMP_CNT_1YR,9.3,9.2,8.5,10.3,1,Tentative,OFFER,1,0%,-1%,0%,1%,1%,2%,-1%,2%,DROP
UT15_OFFER_15WCG_COMP_CNT_1YR,9.3,9.2,8.8,10.2,1,Tentative,OFFER,1,0%,-1%,-2%,1%,4%,1%,-1%,4%,KEEP
COGNOS_20A0O_COMP_YIELD_C,9.2,9.2,8.5,9.6,1,Tentative,PIPE COMP,2,5%,-2%,-5%,2%,3%,0%,-4%,5%,DROP
DGTL_BUS_AUTO_20A0Y_COMP_YIELD_C,9.2,9.1,8.6,9.7,1,Tentative,PIPE COMP,2,4%,-4%,-4%,4%,2%,-2%,-5%,5%,DROP
BJ_UT10_LRN_MISC_COMP_CNT_1YR,9.1,9.1,8.0,10.2,1,Tentative,BJ,0,0%,0%,-2%,2%,2%,2%,-2%,2%,DROP
COG_PROC_SVC_BPO_20J07_COMP_YIELD_C,9.2,9.1,8.4,10.7,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,11%,2%,-1%,-3%,11%,DROP
UT15_OFFER_15DSI_COMP_CNT_1YR,9.0,9.1,8.0,10.0,1,Tentative,OFFER,1,-1%,-2%,-1%,2%,1%,1%,0%,2%,DROP
CLOUD_SEC_RES_20G7C_COMP_YIELD_C,8.8,9.0,6.6,10.3,1,Tentative,PIPE COMP,2,0%,-2%,-4%,6%,1%,-1%,0%,6%,DROP
COMP_INST_FLG_OPENSRC,9.1,9.0,8.1,10.4,1,Tentative,COMP INST,0,0%,1%,-3%,1%,1%,1%,0%,3%,DROP
DATABASE_20A0M_COMP_YIELD_C,8.8,9.0,7.5,9.7,1,Tentative,PIPE COMP,2,3%,-4%,-1%,4%,3%,-1%,-5%,5%,DROP
UT20_OFFER_20B14_COMP_CNT_1YR,9.0,9.0,8.6,9.3,1,Tentative,OFFER,1,-1%,-2%,0%,1%,1%,1%,0%,2%,DROP
BJ_UT10_LRN_GBS_COMP_CNT_1YR,9.0,8.9,7.7,10.5,1,Tentative,BJ,0,1%,-1%,-2%,3%,1%,1%,-2%,3%,DROP
INTR_15MHW_COMP_CNT,9.0,8.8,7.7,11.2,1,Tentative,INTR,0,0%,-2%,2%,1%,2%,-1%,-3%,3%,DROP
"EMP_CNT_SEG_[0,100)",8.6,8.6,7.7,9.8,1,Tentative,EMP_CNT_SEG,1,0%,0%,0%,2%,-1%,0%,-2%,2%,DROP
BJ_UT20_LRN_20A0M_COMP_CNT_1YR,8.9,8.6,7.9,11.7,1,Tentative,BJ,0,0%,-1%,-1%,2%,2%,1%,-2%,2%,DROP
BUS_AREA_NAME_BIN_C,8.7,8.6,7.1,11.4,1,Tentative,BUS_AREA_NAME,CAT,0%,0%,0%,3%,1%,-1%,-4%,4%,KEEP
