FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
CLD_PLATF_20A0X_LEAD_COMP_SUM_C,70.6,69.2,67.7,74.7,1,Tentative,PIPE COMP,1,5%,-3%,-3%,4%,0%,-1%,-5%,5%,KEEP
ALL_LEAD_COMP_SUM_C,66.0,66.3,62.9,69.6,1,Tentative,PIPE COMP,1,-3%,-4%,-4%,14%,2%,-1%,-6%,14%,KEEP
CLD_OBJ_STR_20D0E_LEAD_COMP_SUM_C_FLG,65.6,65.5,60.2,70.3,1,Confirmed,FLG,FLG,1%,-2%,-2%,3%,0%,0%,-3%,3%,DROP
OI_CLIENT_REP_LEAD_COMP_SUM_C,65.0,64.2,63.3,69.8,1,Tentative,PIPE COMP,3,-2%,-4%,-4%,14%,2%,-2%,-6%,14%,KEEP
IBM_AUTO_15IGO_LEAD_INDIV_SUM_I_FLG,62.8,62.7,60.1,66.6,1,Confirmed,FLG,FLG,11%,-3%,-3%,-2%,-2%,-2%,-4%,11%,KEEP
PUB_CLOUD_153QH_LEAD_COMP_SUM_C,62.0,62.2,57.5,63.5,1,Tentative,PIPE COMP,3,8%,-3%,-6%,4%,2%,-1%,-6%,8%,KEEP
ALL_OTHER_UT20_15IGO_LEAD_COMP_SUM_C_FLG,62.9,62.2,58.3,68.6,1,Confirmed,FLG,FLG,2%,-2%,-2%,4%,1%,-1%,-3%,4%,DROP
UT10_CODE_10A00,60.6,60.8,56.8,65.0,1,Tentative,LAST TOUCH,1,10%,-2%,-1%,-4%,0%,-1%,-4%,10%,KEEP
P_SCORE_NEW,57.8,57.8,54.2,60.4,1,Tentative,OTHER,1,8%,2%,-3%,-3%,-6%,0%,-1%,8%,KEEP
ALL_COMP_YIELD_C,57.6,57.1,55.2,60.4,1,Tentative,PIPE COMP,1,-7%,1%,-7%,11%,6%,0%,-2%,11%,KEEP
OI_TECH_SALES_LEAD_COMP_SUM_C,55.5,55.9,52.5,58.8,1,Tentative,PIPE COMP,3,1%,-3%,0%,4%,0%,-1%,-5%,5%,KEEP
GTS_10G00_LEAD_COMP_SUM_C,53.9,54.1,49.9,56.6,1,Tentative,PIPE COMP,2,-5%,-5%,-1%,15%,1%,-2%,-7%,15%,KEEP
BLOCKCHAIN_20B17_LEAD_COMP_SUM_C_FLG,52.1,52.4,49.0,55.0,1,Confirmed,FLG,FLG,0%,-1%,-2%,4%,1%,-1%,-2%,4%,DROP
CHN_NM_DI_COMP_CNT_1YR,52.9,52.3,48.4,57.7,1,Tentative,CHANNEL,0,2%,-3%,-2%,4%,3%,0%,-4%,4%,KEEP
CLD_MGMT_20APO_LEAD_COMP_SUM_C,52.0,51.9,49.6,55.4,1,Tentative,PIPE COMP,1,3%,-3%,-3%,5%,0%,-1%,-5%,5%,KEEP
OI_BP_LEAD_COMP_SUM_C,51.9,51.7,49.3,58.4,1,Tentative,PIPE COMP,3,1%,-5%,3%,3%,0%,-2%,-5%,5%,DROP
GBS_10J00_LEAD_COMP_SUM_C,51.5,51.7,48.9,53.5,1,Tentative,PIPE COMP,2,-5%,-3%,-8%,19%,1%,-2%,-6%,19%,KEEP
BJ_ADP_COMP_CNT_1YR_FLG,51.8,51.3,50.2,54.7,1,Confirmed,FLG,FLG,-4%,-2%,2%,2%,3%,0%,0%,4%,DROP
CLD_DB_20D03_LEAD_COMP_SUM_C_FLG,51.2,51.2,48.5,54.1,1,Confirmed,FLG,FLG,2%,-1%,-2%,2%,0%,-1%,-2%,2%,DROP
ALL_OTHER_UT15_LEAD_COMP_SUM_C_FLG,48.1,48.1,44.3,50.9,1,Confirmed,FLG,FLG,1%,-2%,-3%,6%,2%,-1%,-4%,6%,DROP
ALL_OTHER_UT20_15ANP_LEAD_COMP_SUM_C,47.8,47.6,45.8,49.7,1,Tentative,PIPE COMP,1,3%,-3%,-3%,4%,1%,-1%,-4%,4%,DROP
VMWARE_20D0D_COMP_YIELD_C,47.3,47.1,45.3,50.4,1,Tentative,PIPE COMP,4,2%,-2%,-3%,3%,2%,0%,-3%,3%,KEEP
COG_SYS_15PHW_LEAD_COMP_SUM_C,46.7,47.1,43.2,49.3,1,Tentative,PIPE COMP,2,-5%,-5%,12%,3%,1%,-2%,-8%,12%,KEEP
BUS_AREA_NAME_BIN_B,47.1,46.8,45.1,51.2,1,Tentative,BUS_AREA_NAME,CAT,-12%,0%,7%,-3%,0%,1%,10%,12%,KEEP
DEVICE_TYPE_M_FLG,45.5,45.3,43.1,50.2,1,Confirmed,FLG,FLG,4%,-2%,3%,-4%,1%,-2%,-2%,4%,KEEP
REGULATORY_20AU4_LEAD_COMP_SUM_C,44.5,45.0,42.3,46.2,1,Tentative,PIPE COMP,3,3%,-2%,-3%,4%,0%,-1%,-3%,4%,KEEP
SYSTEMS_10C00_LEAD_COMP_SUM_C,44.3,44.6,41.5,46.3,1,Tentative,PIPE COMP,4,-5%,-6%,12%,4%,1%,-2%,-8%,12%,KEEP
SEC_THREAT_MGMT_INFRS_20B0Z_LEAD_COMP_SUM_C_FLG,43.4,43.6,41.4,45.4,1,Confirmed,FLG,FLG,0%,-2%,-3%,3%,1%,-1%,2%,3%,DROP
OI_TECH_SUPP_LEAD_COMP_SUM_C,43.2,43.1,41.4,47.0,1,Tentative,PIPE COMP,3,1%,-1%,-3%,6%,1%,-2%,-4%,6%,KEEP
ALL_OTHER_UT20_15ISS_LEAD_COMP_SUM_C_FLG,42.2,42.2,38.6,45.3,1,Confirmed,FLG,FLG,-1%,-1%,-4%,6%,2%,-1%,-2%,6%,DROP
BJ_TRY_COMP_CNT_1YR,42.5,42.2,40.4,46.8,1,Tentative,BJ,0,2%,-2%,0%,1%,0%,1%,-3%,3%,KEEP
Z_TRANS_INTGR_20C03_LEAD_COMP_SUM_C_FLG,41.8,42.0,38.0,45.7,1,Confirmed,FLG,FLG,-1%,-3%,2%,4%,1%,-1%,-4%,4%,DROP
SEC_RES_PRJ_SVC_20GWT_LEAD_COMP_SUM_C_FLG,41.0,41.2,38.7,43.1,1,Confirmed,FLG,FLG,-2%,-3%,-5%,8%,2%,-1%,-1%,8%,KEEP
